date,Bitcoin_unscaled,Bitcoin_monthly,isPartial,scale,Bitcoin
2021-01-13,62,50.0,,0.5,31.0
2021-01-14,62,50.0,,0.5,31.0
2021-01-15,56,50.0,,0.5,28.0
2021-01-16,43,50.0,,0.5,21.5
2021-01-17,38,50.0,,0.5,19.0
2021-01-18,37,50.0,,0.5,18.5
2021-01-19,40,50.0,,0.5,20.0
2021-01-20,36,50.0,,0.5,18.0
2021-01-21,49,50.0,,0.5,24.5
2021-01-22,55,50.0,,0.5,27.5
2021-01-23,32,50.0,,0.5,16.0
2021-01-24,28,50.0,,0.5,14.0
2021-01-25,34,50.0,,0.5,17.0
2021-01-26,31,50.0,,0.5,15.5
2021-01-27,37,50.0,,0.5,18.5
2021-01-28,41,50.0,,0.5,20.5
2021-01-29,66,50.0,,0.5,33.0
2021-01-30,41,50.0,,0.5,20.5
2021-01-31,31,50.0,,0.5,15.5
2021-02-01,37,53.0,False,0.53,19.61
2021-02-02,34,53.0,,0.53,18.02
2021-02-03,37,53.0,,0.53,19.61
2021-02-04,40,53.0,,0.53,21.200000000000003
2021-02-05,36,53.0,,0.53,19.080000000000002
2021-02-06,44,53.0,,0.53,23.32
2021-02-07,39,53.0,,0.53,20.67
2021-02-08,88,53.0,,0.53,46.64
2021-02-09,100,53.0,,0.53,53.0
2021-02-10,65,53.0,,0.53,34.45
2021-02-11,60,53.0,,0.53,31.8
2021-02-12,57,53.0,,0.53,30.21
2021-02-13,47,53.0,,0.53,24.91
2021-02-14,49,53.0,,0.53,25.970000000000002
2021-02-15,51,53.0,,0.53,27.03
2021-02-16,58,53.0,,0.53,30.740000000000002
2021-02-17,67,53.0,,0.53,35.510000000000005
2021-02-18,60,53.0,,0.53,31.8
2021-02-19,70,53.0,,0.53,37.1
2021-02-20,76,53.0,,0.53,40.28
2021-02-21,63,53.0,,0.53,33.39
2021-02-22,72,53.0,,0.53,38.160000000000004
2021-02-23,91,53.0,,0.53,48.230000000000004
2021-02-24,69,53.0,,0.53,36.57
2021-02-25,54,53.0,,0.53,28.62
2021-02-26,55,53.0,,0.53,29.150000000000002
2021-02-27,44,53.0,,0.53,23.32
2021-02-28,46,53.0,,0.53,24.380000000000003
2021-03-01,100,37.0,False,0.37,37.0
2021-03-02,86,37.0,,0.37,31.82
2021-03-03,76,37.0,,0.37,28.12
2021-03-04,77,37.0,,0.37,28.49
2021-03-05,80,37.0,,0.37,29.6
2021-03-06,66,37.0,,0.37,24.419999999999998
2021-03-07,70,37.0,,0.37,25.9
2021-03-08,82,37.0,,0.37,30.34
2021-03-09,87,37.0,,0.37,32.19
2021-03-10,88,37.0,,0.37,32.56
2021-03-11,78,37.0,,0.37,28.86
2021-03-12,80,37.0,,0.37,29.6
2021-03-13,95,37.0,,0.37,35.15
2021-03-14,96,37.0,,0.37,35.519999999999996
2021-03-15,88,37.0,,0.37,32.56
2021-03-16,85,37.0,,0.37,31.45
2021-03-17,80,37.0,,0.37,29.6
2021-03-18,84,37.0,,0.37,31.08
2021-03-19,70,37.0,,0.37,25.9
2021-03-20,68,37.0,,0.37,25.16
2021-03-21,65,37.0,,0.37,24.05
2021-03-22,70,37.0,,0.37,25.9
2021-03-23,67,37.0,,0.37,24.79
2021-03-24,79,37.0,,0.37,29.23
2021-03-25,84,37.0,,0.37,31.08
2021-03-26,71,37.0,,0.37,26.27
2021-03-27,67,37.0,,0.37,24.79
2021-03-28,58,37.0,,0.37,21.46
2021-03-29,68,37.0,,0.37,25.16
2021-03-30,69,37.0,,0.37,25.53
2021-03-31,71,37.0,,0.37,26.27
2021-04-01,81,38.0,False,0.38,30.78
2021-04-02,55,38.0,,0.38,20.9
2021-04-03,49,38.0,,0.38,18.62
2021-04-04,40,38.0,,0.38,15.2
2021-04-05,50,38.0,,0.38,19.0
2021-04-06,49,38.0,,0.38,18.62
2021-04-07,45,38.0,,0.38,17.1
2021-04-08,44,38.0,,0.38,16.72
2021-04-09,42,38.0,,0.38,15.96
2021-04-10,50,38.0,,0.38,19.0
2021-04-11,44,38.0,,0.38,16.72
2021-04-12,51,38.0,,0.38,19.38
2021-04-13,70,38.0,,0.38,26.6
2021-04-14,81,38.0,,0.38,30.78
2021-04-15,69,38.0,,0.38,26.22
2021-04-16,88,38.0,,0.38,33.44
2021-04-17,63,38.0,,0.38,23.94
2021-04-18,100,38.0,,0.38,38.0
2021-04-19,89,38.0,,0.38,33.82
2021-04-20,78,38.0,,0.38,29.64
